Ensayos,Fecha,Condición,LíneaCelular,Genotipo,SI/NO,0,15,30,60,90,120,150,180,210
Kill Curve,10.9.2019,FA,HCT116,WT,SI,194374,203703,201851,190202,172808,141716,97174,43555,18616
Kill Curve,10.9.2019,FA,HCT116,WT,SI,203395,202568,210518,193648,171697,139035,94226,48225,22782
Kill Curve,10.9.2019,FA,HCT116,WT,SI,199846,197244,196873,190221,166390,128119,90081,35854,25609
Kill Curve,10.9.2019,FA,HCT116,ADH5,SI,156324,140696,120099,88888,49285,46721,40337,31719,24925
Kill Curve,10.9.2019,FA,HCT116,ADH5,SI,151362,136913,119705,92142,54827,42809,35878,29759,20792
Kill Curve,10.9.2019,FA,HCT116,ADH5,SI,141139,130573,106254,85618,44471,35458,32067,30072,17858
Kill Curve,10.9.2019,FA,HCT116,GCLM SKO,SI,169508,177373,173851,166811,149163,122748,84050,55097,39204
Kill Curve,10.9.2019,FA,HCT116,GCLM SKO,SI,174143,175565,176054,168934,144029,127418,82383,70058,49077
Kill Curve,10.9.2019,FA,HCT116,GCLM SKO,SI,171356,168565,165855,162567,138288,114974,86265,65791,59040
Kill Curve,10.9.2019,FA,HCT116,GCLM ADH5 DKO,SI,133369,119499,105875,86827,52147,45871,31405,24363,23416
Kill Curve,10.9.2019,FA,HCT116,GCLM ADH5 DKO,SI,132736,115546,106007,82021,48316,42132,34496,28050,19888
Kill Curve,10.9.2019,FA,HCT116,GCLM ADH5 DKO,SI,126504,114891,103833,77971,43419,34953,27680,22253,15392
Kill Curve,10.9.2019,Blanco,,-,SI,6217,6195,6053,6047,5970,6044,5809,6214,6145
