Ensayos,Fecha,Condición,LíneaCelular,Genotipo,SI/NO,0,15,30,60,90,120,150,180,210
Kill Curve,26.8.2019,FA,HCT116,WT,NO,166247,164758,160287,144748,98879,43240,19943,16120,12634
Kill Curve,26.8.2019,FA,HCT116,WT,NO,169021,157203,154320,138415,92304,42218,23104,15097,9282
Kill Curve,26.8.2019,FA,HCT116,WT,NO,166268,156164,152499,138171,90690,42852,19358,16135,8821
Kill Curve,26.8.2019,FA,HCT116,ADH5,SI,167189,148786,144167,75830,61292,49748,28678,18412,12656
Kill Curve,26.8.2019,FA,HCT116,ADH5,SI,166774,145046,131905,63810,55965,43704,27723,17365,13319
Kill Curve,26.8.2019,FA,HCT116,ADH5,SI,160668,139786,120614,54989,48498,37519,23851,18613,11882
Kill Curve,26.8.2019,FA,HCT116,GCLM SKO,SI,180347,189384,176326,163723,135957,64210,48406,36105,13699
Kill Curve,26.8.2019,FA,HCT116,GCLM SKO,SI,183217,177680,177814,150952,141107,69514,59481,41875,15046
Kill Curve,26.8.2019,FA,HCT116,GCLM SKO,SI,177431,178523,171982,160549,131084,74276,59730,45466,14623
Kill Curve,26.8.2019,FA,HCT116,GCLM ADH5 DKO,SI,167350,155101,140348,83322,59806,42804,33253,23975,12114
Kill Curve,26.8.2019,FA,HCT116,GCLM ADH5 DKO,SI,160030,146599,136991,77897,54492,39155,27646,23583,13618
Kill Curve,26.8.2019,FA,HCT116,GCLM ADH5 DKO,SI,197410,141665,126410,63328,42314,34006,26210,20571,13014
Kill Curve,26.8.2019,Blanco,,-,SI,5821,5681,5642,5523,5540,5609,5379,5600,5699
