Ensayos,Fecha,Condición,LíneaCelular,Genotipo,SI/NO,0,15,30,60,90,120,150,180,210
Kill Curve,28.9.2019,FA,HCT116,WT,SI,188293,193859,194685,187845,181212,158928,129701,117399,72280
Kill Curve,28.9.2019,FA,HCT116,WT,SI,192631,194231,192190,190687,185516,160096,133843,108187,69459
Kill Curve,28.9.2019,FA,HCT116,WT,SI,190794,200910,196114,189262,184186,165147,140248,114556,68415
Kill Curve,28.9.2019,FA,HCT116,ADH5,SI,149712,154638,143726,112850,75409,44338,29673,35886,30994
Kill Curve,28.9.2019,FA,HCT116,ADH5,SI,150486,150511,138416,111138,74056,42033,39364,36346,29425
Kill Curve,28.9.2019,FA,HCT116,ADH5,SI,138057,140198,135877,97241,59838,33739,35062,28328,22932
Kill Curve,28.9.2019,FA,HCT116,GCLM SKO,SI,200819,199751,197406,182213,168084,138412,70171,39219,32342
Kill Curve,28.9.2019,FA,HCT116,GCLM SKO,SI,199301,189876,190114,178475,164655,125895,81058,54579,37679
Kill Curve,28.9.2019,FA,HCT116,GCLM SKO,SI,186770,185574,181693,170736,156200,122181,56137,52740,37056
Kill Curve,28.9.2019,FA,HCT116,GCLM ADH5 DKO,SI,157015,152347,145740,111669,64746,43744,40860,33531,26282
Kill Curve,28.9.2019,FA,HCT116,GCLM ADH5 DKO,SI,150570,150594,139137,111883,68263,47106,40341,33245,26409
Kill Curve,28.9.2019,FA,HCT116,GCLM ADH5 DKO,SI,142038,136205,127072,107711,61623,38471,36479,27280,20187
Kill Curve,28.9.2019,Blanco,,-,SI,6764,6675,6674,6430,6685,6588,6585,6745,6679
Kill Curve,28.9.2019,Blanco,,-,SI,6584,6320,6305,6007,6373,6180,6274,6324,6499
