Ensayos,Fecha,Condición,LíneaCelular,Genotipo,SI/NO,0,15,30,60,90,120,150,180,210
Kill Curve,30.8.2019,FA,HCT116,WT,NO,159517,166113,163619,161159,162320,159410,158370,151273,148059
Kill Curve,30.8.2019,FA,HCT116,WT,NO,162339,161926,158034,155838,159797,156039,158750,146505,156144
Kill Curve,30.8.2019,FA,HCT116,WT,NO,156576,157624,158064,153857,152222,149692,150767,148661,147374
Kill Curve,30.8.2019,FA,HCT116,ADH5,NO,120520,109897,108751,101243,96051,89365,85383,72441,62425
Kill Curve,30.8.2019,FA,HCT116,ADH5,NO,115231,107303,106715,100415,98136,87974,82109,70524,56122
Kill Curve,30.8.2019,FA,HCT116,ADH5,NO,106785,103750,99378,88901,85963,76917,70887,66118,52206
Kill Curve,30.8.2019,FA,HCT116,GCLM SKO,NO,153784,157575,159714,152687,149788,141009,140605,130611,114055
Kill Curve,30.8.2019,FA,HCT116,GCLM SKO,NO,155348,154518,153704,147024,140939,135011,133807,135141,120529
Kill Curve,30.8.2019,FA,HCT116,GCLM SKO,NO,152244,147144,147909,141548,135289,125374,129646,130068,114708
Kill Curve,30.8.2019,FA,HCT116,GCLM ADH5 DKO,NO,142451,143753,137205,130159,120182,110524,106661,101576,85531
Kill Curve,30.8.2019,FA,HCT116,GCLM ADH5 DKO,NO,141875,141451,138072,127641,121689,120530,106470,99670,80335
Kill Curve,30.8.2019,FA,HCT116,GCLM ADH5 DKO,NO,137255,132272,131241,124856,115718,108773,99238,88599,71906
Kill Curve,30.8.2019,Blanco,,-,NO,5709,5500,5554,5270,5558,5403,5052,5962,5718
