Ensayos,Fecha,Condición,LíneaCelular,Genotipo,SI/NO,0,60,150
Kill Curve,2.9.2019,FA,HCT116,WT,SI,164738,167953,110423
Kill Curve,2.9.2019,FA,HCT116,WT,SI,167713,171625,118462
Kill Curve,2.9.2019,FA,HCT116,WT,SI,182330,157763,111149
Kill Curve,2.9.2019,FA,HCT116,ADH5,SI,151304,107018,50847
Kill Curve,2.9.2019,FA,HCT116,ADH5,SI,149829,90345,44171
Kill Curve,2.9.2019,FA,HCT116,ADH5,SI,150257,76050,30842
Kill Curve,2.9.2019,FA + EtGSH,HCT116,WT,SI,168133,167400,163470
Kill Curve,2.9.2019,FA + EtGSH,HCT116,WT,SI,174761,171589,163338
Kill Curve,2.9.2019,FA + EtGSH,HCT116,WT,SI,170728,166728,154829
Kill Curve,2.9.2019,FA + EtGSH,HCT116,ADH5,SI,155253,147617,117352
Kill Curve,2.9.2019,FA + EtGSH,HCT116,ADH5,SI,144250,137925,116723
Kill Curve,2.9.2019,FA + EtGSH,HCT116,ADH5,SI,143723,129125,112272
Kill Curve,2.9.2019,NAC,HCT116,WT,SI,179914,193547,191778
Kill Curve,2.9.2019,NAC,HCT116,WT,SI,182811,194825,189148
Kill Curve,2.9.2019,NAC,HCT116,WT,SI,185165,193896,183938
Kill Curve,2.9.2019,NAC,HCT116,ADH5,SI,168207,164772,152712
Kill Curve,2.9.2019,NAC,HCT116,ADH5,SI,157077,161570,155492
Kill Curve,2.9.2019,NAC,HCT116,ADH5,SI,150445,150200,142632
Kill Curve,2.9.2019,TROLOX,HCT116,WT,SI,155339,150619,66981
Kill Curve,2.9.2019,TROLOX,HCT116,WT,SI,165473,150815,66136
Kill Curve,2.9.2019,TROLOX,HCT116,WT,SI,164002,141657,65754
Kill Curve,2.9.2019,TROLOX,HCT116,ADH5,SI,138372,80404,32131
Kill Curve,2.9.2019,TROLOX,HCT116,ADH5,SI,138747,68234,29023
Kill Curve,2.9.2019,TROLOX,HCT116,ADH5,SI,120777,59843,26706
Kill Curve,2.9.2019,Blanco,,-,SI,6584,6007,6274
