Ensayos,Fecha,Condición,LíneaCelular,Genotipo,SI/NO,0,60,150
Kill Curve,27.9.2019,FA,HCT116,WT,SI,191254,195317,157533
Kill Curve,27.9.2019,FA,HCT116,WT,SI,196219,190719,155328
Kill Curve,27.9.2019,FA,HCT116,WT,SI,195814,187246,152473
Kill Curve,27.9.2019,FA,HCT116,ADH5,SI,174590,140988,76864
Kill Curve,27.9.2019,FA,HCT116,ADH5,SI,171882,161015,64187
Kill Curve,27.9.2019,FA,HCT116,ADH5,SI,163240,134082,53498
Kill Curve,27.9.2019,FA + EtGSH,HCT116,WT,SI,200783,197853,200637
Kill Curve,27.9.2019,FA + EtGSH,HCT116,WT,SI,199298,204453,195579
Kill Curve,27.9.2019,FA + EtGSH,HCT116,WT,SI,196016,198989,195313
Kill Curve,27.9.2019,FA + EtGSH,HCT116,ADH5,SI,180550,183085,171280
Kill Curve,27.9.2019,FA + EtGSH,HCT116,ADH5,SI,181318,179030,172241
Kill Curve,27.9.2019,FA + EtGSH,HCT116,ADH5,SI,167119,168206,158384
Kill Curve,27.9.2019,NAC,HCT116,WT,SI,199006,201916,193362
Kill Curve,27.9.2019,NAC,HCT116,WT,SI,197210,198850,194954
Kill Curve,27.9.2019,NAC,HCT116,WT,SI,202079,196864,192681
Kill Curve,27.9.2019,NAC,HCT116,ADH5,SI,184953,179508,168194
Kill Curve,27.9.2019,NAC,HCT116,ADH5,SI,177249,173542,162266
Kill Curve,27.9.2019,NAC,HCT116,ADH5,SI,171355,169486,156594
Kill Curve,27.9.2019,TROLOX,HCT116,WT,SI,182678,183521,151704
Kill Curve,27.9.2019,TROLOX,HCT116,WT,SI,185058,186440,154912
Kill Curve,27.9.2019,TROLOX,HCT116,WT,SI,183872,180936,158800
Kill Curve,27.9.2019,TROLOX,HCT116,ADH5,SI,170058,134052,66203
Kill Curve,27.9.2019,TROLOX,HCT116,ADH5,SI,162549,133889,63263
Kill Curve,27.9.2019,TROLOX,HCT116,ADH5,SI,153821,127429,52909
Kill Curve,27.9.2019,FA + BSO,HCT116,WT,SI,188468,177983,93648
Kill Curve,27.9.2019,FA + BSO,HCT116,WT,SI,188092,175274,110980
Kill Curve,27.9.2019,FA + BSO,HCT116,WT,SI,175705,168413,97957
Kill Curve,27.9.2019,FA + BSO,HCT116,ADH5,SI,156145,124709,66499
Kill Curve,27.9.2019,FA + BSO,HCT116,ADH5,SI,148835,118974,69607
Kill Curve,27.9.2019,FA + BSO,HCT116,ADH5,SI,147079,115239,61457
Kill Curve,27.9.2019,FA + BSO + NAC,HCT116,WT,SI,191856,186154,182446
Kill Curve,27.9.2019,FA + BSO + NAC,HCT116,WT,SI,183726,186125,181380
Kill Curve,27.9.2019,FA + BSO + NAC,HCT116,WT,SI,177419,180622,177007
Kill Curve,27.9.2019,FA + BSO + NAC,HCT116,ADH5,SI,163010,165920,153523
Kill Curve,27.9.2019,FA + BSO + NAC,HCT116,ADH5,SI,159157,160168,145230
Kill Curve,27.9.2019,FA + BSO + NAC,HCT116,ADH5,SI,151856,158843,143406
Kill Curve,27.9.2019,Blanco,,-,SI,7866,8076,7975
Kill Curve,27.9.2019,Blanco,,-,SI,7892,7650,7659
